player,position,seasons,career_snaps,career_pressures,career_war
Ryan Kelly,C,10,4840,149,0.00454516501065683
Austin Corbett,G,6,2805,113,0.0044789582310253385
Alex Boone,G,5,2669,107,0.004412424478447959
Ted Karras,C,6,4247,108,0.004410096206153957
Zach Tom,T,4,1865,85,0.004357194213204627
Mitchell Schwartz,T,8,5016,256,0.004230075918262216
David Andrews,C,8,4477,149,0.004202601593515563
Matt Slauson,G,5,2000,65,0.004198146341509765
Rashawn Slater,T,3,2061,86,0.004171249824687044
Jawaan Taylor,T,7,4781,253,0.004163805638953912
Wyatt Teller,G,8,3922,167,0.004083227897026404
Christian Darrisaw,T,5,2175,101,0.004076205074340847
Mike Onwenu,G,4,2278,77,0.0040522227288716265
Erik McCoy,C,6,3061,75,0.003990054655046108
Michael Schofield III,G,6,2906,124,0.003973359856524315
Brandon Linder,C,6,2929,53,0.0039555025230536165
Trey Smith,G,5,3399,157,0.003867312120059312
Bernhard Raimann,T,4,2109,112,0.0038599328547125316
Ron Leary,G,6,2749,123,0.0037588383363469347
Louis Vasquez,G,3,1967,61,0.0037492510901858513
Ezra Cleveland,G,6,3549,180,0.0037406902990840285
James Daniels,G,5,2551,110,0.0037231404936307957
James Carpenter,G,8,4143,202,0.003708874226510841
John Simpson,G,5,2809,125,0.0036819501903319475
Charles Leno Jr.,T,9,5715,323,0.003676228078706107
Jermey Parnell,T,5,2650,169,0.0036741955041856146
Quinton Spain,G,7,3369,152,0.0036565119325681545
Graham Glasgow,G,6,3142,154,0.0036394380412385218
Ryan Jensen,C,5,3635,96,0.0036151928734644194
Robert Hunt,G,4,2367,93,0.003576924329735609
Laurent Duvernay-Tardif,G,6,2474,105,0.0035403530413031887
Maurkice Pouncey,C,6,3734,104,0.003455413988765061
Gabe Jackson,G,9,5073,220,0.0034426721095303443
Frank Ragnow,C,5,3030,78,0.003431977463712356
Andy Levitre,G,5,3010,132,0.003412552961487709
Kyle Long,G,6,2326,93,0.0034084683227896127
Cody Whitehair,G,4,2188,88,0.0033884005599315796
Laken Tomlinson,G,11,6539,336,0.0033826605055467234
Ja'Wuan James,T,5,2245,145,0.00334801864689976
Ramon Foster,G,7,4237,184,0.0033461760466665896
Oday Aboushi,G,8,2249,91,0.003321060486151487
Tyler Smith,G,3,1990,65,0.003282087442106147
Matt Feiler,G,4,2333,91,0.0032598810228670226
Luke Goedeke,T,3,1644,79,0.003256659085269883
Connor McGovern,G,6,2772,138,0.0031577299200260906
Zach Fulton,G,6,3146,159,0.003139320108786152
Logan Mankins,G,3,1931,79,0.003109648008580601
Cesar Ruiz,G,6,3153,129,0.0031065660412234195
Matt Paradis,C,7,4147,149,0.0030804579849048916
Tyler Biadasz,C,6,3411,107,0.00306859098902549
Wes Schweitzer,G,5,2597,117,0.00305152714718782
Justin Britt,C,5,2577,66,0.0030500768430395293
John Greco,G,4,2350,109,0.0029934756860441007
Kaleb McGary,T,6,3525,188,0.0029801225647100426
Sam Cosmi,G,3,1802,65,0.0029764083013769033
Ryan Kalil,C,7,3116,108,0.002965715041932024
Zion Johnson,G,4,2744,132,0.0029616192893493075
Paris Johnson Jr.,T,3,1765,99,0.0029600081022440623
Stefen Wisniewski,C,3,1961,40,0.00294863583230093
Eric Wood,C,5,2858,89,0.0029109162687668256
Mike Pouncey,C,6,2674,78,0.00290647420927177
Weston Richburg,C,5,2478,73,0.0028922381154601515
Max Garcia,G,6,2580,127,0.0028912548800983477
Nick Mangold,C,4,1995,46,0.002875046062606106
Connor McGovern,C,7,4225,155,0.002848814534293223
Alaric Jackson,T,3,1690,99,0.00284817472962626
Charles Cross,T,4,2421,161,0.0028402385664643395
Greg Van Roten,G,8,4330,206,0.002839209947731426
Mike Onwenu,T,2,991,37,0.0028357151227943016
Anthony Castonzo,T,8,4883,278,0.0028283762987595367
Evan Mathis,G,3,1461,52,0.002810245407504036
Chase Roullier,C,5,2465,65,0.0028059446147825134
David Edwards,G,5,2888,124,0.002777434779701407
Marcus Gilbert,T,6,2771,148,0.0027277065471221175
Trent Brown,T,9,3659,183,0.0027068251539124222
Connor Williams,G,4,2165,91,0.0027058961163061376
Ethan Pocic,C,6,3282,105,0.0026204908459771525
Dennis Kelly,T,5,1371,71,0.0026153081044092523
Ereck Flowers,G,3,1762,70,0.002606408774026773
Willie Colon,G,3,1400,52,0.0025719278158781093
Chris Hubbard,T,6,2337,163,0.0025428711143552813
Peter Skoronski,G,3,1876,83,0.0025359151661682004
Zach Strief,T,4,2803,140,0.002483959732525543
A.Q. Shipley,C,4,2414,63,0.002475235045562294
Chukwuma Okorafor,T,4,2323,101,0.0024736539791840296
Austin Reiter,C,4,1728,28,0.0024693167173661986
Chance Warmack,G,4,1984,101,0.0024006328354070783
Lane Taylor,G,4,2209,105,0.002384458756194148
Nick Martin,C,4,2602,76,0.002382779185596887
Kraig Urbik,G,3,1284,47,0.0023790920903427933
Alex Cappa,G,6,4274,196,0.0023789938608216117
D.J. Fluker,G,5,2257,117,0.0023329691788422737
Anton Harrison,T,3,1891,93,0.0023247451141630705
Steve Avila,G,3,1505,63,0.0023109731188419983
Nate Solder,T,7,4485,266,0.0022978198133761455
Sebastian Vollmer,T,3,1469,80,0.002239508433610221
Nate Davis,G,5,2243,128,0.0022231966113841813
Ben Grubbs,G,3,1783,82,0.0022217999699732497
Russell Bodine,C,5,2768,104,0.002184413335896646
Aaron Banks,G,4,1906,100,0.002177597234144803
James Hurst,G,2,1163,43,0.0021753788764272124
Rick Wagner,T,7,3862,222,0.0021122770078973903
Cody Whitehair,C,4,2386,73,0.002106420387271692
Lloyd Cushenberry III,C,6,3135,115,0.0021044597056405715
Austin Pasztor,T,3,1517,98,0.0020905044241817856
Clint Boling,G,6,3473,152,0.0020830215460825286
Cam Fleming,T,4,1673,99,0.002080850967815899
Taylor Decker,T,10,5619,313,0.002074838523824731
Teven Jenkins,G,4,1382,60,0.0020448735757071235
Ty Nsekhe,T,5,1122,64,0.0020391200542610927
Vladimir Ducasse,G,6,2063,112,0.002035547531204212
Andre James,C,4,2349,77,0.0020344820727735856
Mike Iupati,G,7,3333,162,0.002010759317563537
Lucas Patrick,G,4,1241,49,0.002004251625563815
Mike Remmers,T,6,2871,179,0.0019784194304220404
Trey Hopkins,C,4,2289,72,0.0019297872186573367
Roger Rosengarten,T,2,1024,57,0.001927796915143225
Cole Strange,G,3,1395,66,0.0019176272321706324
Hjalte Froholdt,C,4,2467,83,0.0019151438779786052
Matthew Bergeron,G,3,1769,94,0.0018925000892319477
Branden Albert,T,4,1730,79,0.0018865437274616667
Joe Alt,T,2,796,27,0.0018818287526525031
Justin Blalock,G,2,1401,60,0.0018816878007931067
Andrew Thomas,T,6,2836,142,0.0018808750271469743
Patrick Omameh,G,5,2204,120,0.0018806601692154348
Taliese Fuaga,T,2,1187,67,0.0018796116278007365
Isaac Seumalo,G,9,4018,192,0.0018775408167834616
Coleman Shelton,C,4,2508,91,0.0018574363305003537
Joe Barksdale,T,6,3059,203,0.0018533770290615923
Evan Brown,G,3,1639,76,0.0018504897249187714
Rob Sims,G,2,1399,62,0.0018309289728637556
Khalif Barnes,T,2,1139,66,0.0018242407215078365
Will Fries,G,3,1670,87,0.0018163602927091353
Jack Mewhort,G,4,2009,104,0.0018049370986999323
Jahri Evans,G,5,3245,125,0.0018048867180085555
Jake Brendel,C,4,2395,90,0.0017964816465223233
Amarius Mims,T,2,1254,68,0.0017896176956002075
Tyler Shatley,G,4,1213,50,0.0017892646575545903
Connor Williams,C,3,1383,32,0.0017855188539766407
Tyler Linderbaum,C,4,2244,83,0.0017761534272727423
Joe Berger,C,2,1088,27,0.0017744386901307114
Zach Frazier,C,2,1182,22,0.0017565264423076567
Aaron Brewer,C,3,1885,60,0.001741242850354218
Patrick Paul,T,2,807,40,0.001737788213588752
Jeff Allen,G,4,1781,100,0.0017350727275903379
Mason McCormick,G,2,1157,46,0.00173029839951891
Alijah Vera-Tucker,G,3,1588,74,0.0017298529060677608
Bradley Bozeman,C,5,3065,122,0.001724904446859776
Max Scharping,G,3,1330,59,0.0016899639673380801
Jesse Davis,T,3,2045,133,0.0016856945457691592
Cordell Volson,G,3,2121,119,0.00168216619409372
Nate Herbig,G,3,1272,55,0.001651022520560097
Robert Jones,G,3,1213,51,0.0016504577233602854
Orlando Franklin,T,1,661,24,0.0016288084649044216
Jon Feliciano,G,4,1478,74,0.0016253950917352786
Jordan Mailata,T,6,3198,176,0.0016037754636670954
Troy Fautanu,T,1,634,25,0.0015970173942883067
Jeremy Zuttah,C,4,2387,89,0.0015753284522238523
Jon Asamoah,G,2,1026,39,0.0015675702861156677
Patrick Mekari,T,3,983,54,0.0015567613145228596
Joe Hawley,C,4,1700,60,0.001552592952878895
Riley Reiff,T,10,5470,342,0.0015497346116722913
Luke Wattenberg,C,2,1156,21,0.001534553727349436
Josh Myers,C,5,2641,106,0.001534081397726651
Robert Hainsey,C,3,2064,72,0.0015167876934199377
Ryan Harris,T,3,1496,106,0.0015135592874032963
Chris Reed,G,3,1054,45,0.0014965614948808956
Daniel Kilgore,C,5,2252,81,0.0014960886717367303
Uche Nwaneri,G,1,689,27,0.001476222998318564
Geoff Schwartz,G,2,759,29,0.0014756186907053095
Daryn Colledge,G,2,1073,50,0.0014688985503439498
Evan Smith,C,3,1478,44,0.0014622180308803525
Stefen Wisniewski,G,3,1192,52,0.0014609952562881512
Kevin Boothe,G,1,638,25,0.0014238153947090835
Warren McClendon Jr.,T,2,626,26,0.0014225143414217244
Jordan Gross,T,1,578,29,0.0014125781575542492
Graham Glasgow,C,4,2248,88,0.001409128084646253
Joe Berger,G,2,1002,40,0.0013959606388078468
Dominic Raiola,C,2,1353,35,0.0013938066128853634
Manuel Ramirez,C,2,1407,37,0.0013848530410638547
Dominick Puni,G,2,1320,65,0.0013782847548050303
Nick Allegretti,G,4,1489,76,0.001367375113825488
Matt Skura,C,3,1353,44,0.0013672323629504847
Tyler Polumbus,T,2,1017,62,0.0013634568784484083
Roberto Garza,C,2,1178,27,0.0013600451599579141
Will Beatty,T,2,1317,91,0.0013022407526424482
Brandon Shell,T,6,2738,171,0.001297925819974434
Luke Fortner,C,3,1876,71,0.0012962016637027766
Abraham Lucas,T,4,1634,95,0.001289206153459732
Phil Loadholt,T,2,1047,69,0.0012771505499341235
Billy Price,C,3,1501,50,0.001267144934963185
Nick Easton,G,3,968,43,0.0012638804046246252
Dawand Jones,T,2,783,43,0.0012505073318846468
Armand Membou,T,1,639,33,0.0012448648350715343
Anthony Davis,T,2,788,50,0.0012434369423450756
Jesse Davis,G,2,1069,54,0.0012405438928545468
Daryl Williams,T,4,2243,121,0.0012346666629052835
Mark Glowinski,G,8,3841,236,0.0012318309369995402
Michael Ola,T,2,826,43,0.0012307127775672288
Garrett Bradbury,C,7,4110,184,0.0012200074397491776
Mekhi Becton,T,2,1056,73,0.001204712659059127
Kory Lichtensteiger,G,1,698,29,0.0012040936923994308
Jamon Brown,G,5,1816,109,0.0011869414036342423
Travelle Wharton,G,1,474,17,0.0011854257785875147
Brian De La Puente,C,2,1050,25,0.0011784207991960868
T.J. Bass,G,3,599,16,0.00117582855383281
Josh Kline,G,6,2763,137,0.001169549283552653
Garrett Reynolds,G,2,869,49,0.0011662266653768838
Greg Robinson,T,6,2633,180,0.0011638443656185275
Brady Christensen,G,1,533,17,0.0011617198093410502
JC Latham,T,2,1171,80,0.0011576772326661981
Ryan Neuzil,C,2,973,24,0.0011576596445085495
Germain Ifedi,G,2,1249,65,0.0011561504342559828
Jermon Bushrod,T,3,1477,111,0.001151881025514148
Jackson Powers-Johnson,G,2,843,33,0.0011339590323320024
Dillon Radunz,G,2,985,46,0.001129203193025631
Tim Barnes,C,2,1160,47,0.0011288524086397241
Tytus Howard,G,2,828,41,0.0011287521937500945
Evan Brown,C,2,1085,35,0.0011252380163888755
Will Montgomery,C,2,1044,26,0.001123322503147658
Kyle Long,T,1,605,37,0.0011201138918137965
Patrick Mekari,G,3,1233,65,0.0011183362294933281
Zane Beadles,G,6,3194,181,0.0011173481111295136
Tim Lelito,G,2,823,36,0.0011145803166382135
Tate Ratledge,G,1,648,24,0.0010942574482596555
Sam Mustipher,C,3,1549,58,0.0010909576801574113
Mike Person,C,2,795,23,0.0010908869835999616
Brandon Linder,G,1,597,15,0.001088300403066507
Jonah Williams,T,6,3132,175,0.001083715286371867
Matt Pryor,G,2,1181,59,0.0010715571934470924
Jamaree Salyer,G,2,929,50,0.0010595050249514347
Mike Brisiel,G,1,531,25,0.0010395996306064438
Lyle Sendlein,C,3,1919,83,0.0010345139232325175
Joe Tippmann,C,2,1290,43,0.0010316281250119252
Austin Howard,T,4,2161,130,0.0010309328991944173
Michael Jordan,G,5,2256,141,0.001030784018675574
Jonathan Cooper,G,2,829,42,0.0010295679618572717
Hugh Thornton,G,3,1482,92,0.0010265511303070483
Ted Karras,G,1,425,11,0.0009997057718789013
Scott Wells,C,2,1031,32,0.0009979598468963442
Travis Swanson,C,5,2256,99,0.0009977162041279412
Anthony Bradford,G,3,1371,84,0.0009876909456048453
Jake Long,T,2,763,52,0.0009804142959240706
Cooper Beebe,C,2,1176,34,0.0009799234766353173
Josh Wells,T,3,669,40,0.0009715311855735223
Chris Paul,G,2,842,43,0.0009545106156482762
Andrew Tiller,G,2,686,33,0.0009521698780542677
Nick Leverett,G,1,513,12,0.0009341294220579746
Michael Harris,G,1,558,27,0.0009209733051765691
Daniel Faalele,G,2,1113,62,0.0009208138810815614
Alex Bars,G,2,889,45,0.0009055026055340842
Trey Hopkins,G,1,437,15,0.0009054561144057297
Ronnie Stanley,T,9,4104,208,0.0008971449280292708
Chad Rinehart,G,2,1046,58,0.0008958662982763792
Geron Christian,T,3,1020,74,0.0008874589202975886
Mike Pollak,G,2,427,13,0.0008865793094252822
D.J. Humphries,T,7,3924,212,0.0008858906615570439
Ben Bartch,G,3,788,39,0.0008844339175955255
Cade Mays,C,2,756,21,0.0008832529120567213
Grey Zabel,G,1,553,24,0.0008754561565800481
Landon Dickerson,G,5,2687,142,0.0008747780454099452
Yosh Nijman,T,2,804,48,0.000870355909196148
Tony Pashos,T,1,435,26,0.0008692169760717191
Denzelle Good,G,4,1380,84,0.0008664593358193481
Phil Haynes,G,2,631,30,0.0008640990162104865
John Sullivan,C,4,2412,90,0.0008597123798257019
Will Campbell,T,1,476,26,0.0008591383934664241
Tyre Phillips,T,3,804,54,0.0008503663023421775
Brett Jones,C,1,605,10,0.0008442102788000649
Manuel Ramirez,G,1,351,8,0.0008409232200533517
Nick Hardwick,C,1,612,15,0.0008355909534792145
Liam Eichenberg,G,2,1053,56,0.0008290566858752464
Cody Wichmann,G,2,618,32,0.0008204096600689988
Austin Blythe,G,1,657,30,0.0008180527549873722
Brad Meester,C,1,688,19,0.0008133006098777824
Jake Andrews,C,1,656,14,0.0008055518429181787
Davin Joseph,G,2,1145,71,0.0008044927839891187
David Stewart,T,1,506,33,0.0007945880576866347
Tyler Shatley,C,3,1126,38,0.0007909160236072824
Tyler Booker,G,1,631,25,0.0007826286932019745
Kevin Pamphile,G,2,1111,63,0.0007798739182272071
Ben Jones,G,1,554,21,0.0007774914943420184
Jeromey Clary,G,1,586,34,0.0007762341441827821
Jordan Meredith,G,1,399,9,0.0007758361561088099
Samson Satele,C,2,1254,45,0.0007716041793533242
Dan Feeney,G,4,2036,130,0.0007619456891650383
Nick Gates,C,2,1088,37,0.0007607547165472961
Joe Tippmann,G,1,639,29,0.0007537848395335806
Ike Boettger,G,2,833,43,0.0007528242864108865
Doug Legursky,G,1,421,19,0.0007441733876443387
Rodger Saffold,T,1,289,14,0.0007405436452158425
Joe Dahl,G,2,685,31,0.0007272800273890991
Ryan Bates,G,1,615,28,0.000727115235541821
Tanor Bortolini,C,2,777,24,0.0007239756838281897
Darnell Wright,T,3,1946,100,0.0007087495058914219
Sam Cosmi,T,2,623,37,0.0007054086528293112
Chris Scott,G,1,278,10,0.0007040947208696426
Weston Richburg,G,1,620,25,0.0007016384198274365
Greg Mancz,C,1,670,18,0.0006992304249399035
Solomon Kindley,G,1,448,17,0.0006987902996682969
Cam Jurgens,C,2,1003,36,0.0006968279566092739
Jermon Bushrod,G,2,931,54,0.0006917082166113778
Lucas Patrick,C,2,1130,46,0.0006889823453398642
Kingsley Suamataia,G,1,724,35,0.0006887100384405181
Daryl Williams,G,1,778,40,0.0006862150625470974
Justin Murray,G,1,362,11,0.0006829249955860338
Tyrell Crosby,T,2,679,41,0.0006824770408795717
Evan Smith,G,1,449,16,0.0006766209543628256
Justin Pugh,T,3,1480,104,0.0006759882942763849
Charlie Johnson,G,2,1152,74,0.0006690924160781913
Juice Scruggs,G,2,500,24,0.000667793932927078
James Daniels,C,1,692,20,0.0006649924031981724
Ryan Groy,C,2,621,19,0.0006646755993400934
Jonathan Goodwin,C,2,1100,42,0.0006608011444715221
Isaiah Wynn,G,1,224,4,0.0006557649839731334
Sidy Sow,G,1,486,27,0.000650064581971337
Kory Lichtensteiger,C,2,882,31,0.0006482593260908331
Justin Britt,G,1,618,37,0.0006421170081755134
Eric Winston,T,2,805,66,0.000637843672835488
Forrest Lamp,G,1,729,38,0.0006378121110035303
A.Q. Shipley,G,1,443,22,0.0006361545960193511
Colton McKivitz,T,3,1883,115,0.0006308327808584774
Mike Person,G,2,1113,67,0.000629253952375173
Aaron Brewer,G,2,819,50,0.0006255211173461094
Matt Feiler,T,2,1063,51,0.0006219414450768624
Mackenzy Bernadeau,G,1,452,24,0.0006183900286881686
Justin McCray,G,2,719,40,0.0006180707533880283
Chris Myers,C,2,1295,52,0.0006173026064175156
Daniel Brunskill,T,1,233,9,0.0006150000434765611
Wesley Johnson,C,2,938,34,0.0006107764631366259
Ben Bredeson,G,5,2233,118,0.0006061346644563264
Brian Allen,C,3,1175,50,0.00060410148735049
Frank Ragnow,G,1,672,36,0.0006021118554210692
Robert Hunt,T,1,449,23,0.0005896535389522374
Sean Rhyan,G,1,502,24,0.0005880293386572444
La'el Collins,G,1,419,22,0.0005856995771627798
Zach Fulton,C,1,492,11,0.0005827084717522768
Kendrick Green,C,1,631,18,0.0005824078494268774
Kyle Cook,C,1,635,20,0.0005781167839316736
Jarrett Patterson,C,2,633,20,0.0005772581296455887
Brock Hoffman,G,1,286,6,0.0005751394214174794
Elgton Jenkins,T,1,306,12,0.0005746997307285554
Laremy Tunsil,G,1,454,23,0.0005703772041003709
Alex Redmond,G,2,885,53,0.0005676593463597806
Bradley Bozeman,G,2,1050,42,0.00056637255153915
Bryan Stork,C,2,801,30,0.0005632280824699197
Dylan Fairchild,G,1,629,31,0.0005583213815859784
J.D. Walton,C,1,680,20,0.000556459035391563
Jordan Simmons,G,1,401,17,0.0005554716169269732
Michael Deiter,C,2,780,30,0.0005551322833350688
Ryan Wendell,G,1,549,23,0.0005541206776050909
Dylan Cook,T,1,187,6,0.0005536404564704564
Michael Bowie,T,1,294,19,0.0005536293467356484
Chris Watt,G,1,315,9,0.0005480600735101655
Austin Howard,G,1,701,33,0.0005449317739227485
Jonotthan Harrison,C,4,1614,77,0.0005421208409278374
Jalen Sundell,C,1,407,11,0.0005420318882608645
Brent Qvale,T,2,396,28,0.0005318943987399164
Ozzy Trapilo,T,1,282,15,0.0005225403306269778
Harvey Dahl,G,1,342,19,0.000520806164356067
Jeremiah Sirles,T,1,486,37,0.0005199070056008248
Mike McGlynn,G,2,1046,69,0.0005149346369289682
Nick Gates,G,2,420,19,0.0005137489279576388
Joey Hunt,G,1,362,13,0.000512190107470044
Cole Van Lanen,T,1,352,22,0.000506181887911056
Andrew Wylie,G,4,1788,79,0.0005058514544346703
Trystan Colon,G,2,415,21,0.0005055414333851439
Nate Garner,G,1,278,11,0.0005006528299069668
John Michael Schmitz Jr.,C,3,1596,72,0.0004972126697770569
Corey Hilliard,T,1,280,16,0.00049595227697325
Andrew Vorhees,G,1,513,28,0.0004949985998892675
Tyler Larsen,G,2,418,21,0.0004929973088182089
Andrus Peat,T,3,1410,88,0.0004918270379207328
Pat Elflein,C,4,1630,76,0.0004883356824990288
Dillon Radunz,T,1,455,36,0.0004829937566748724
Erik Pears,G,1,663,33,0.00047534681417991687
Sean Harlow,G,1,260,8,0.00047486577427226077
Austin Blythe,C,3,1972,89,0.0004718300026943964
Patrick Lewis,C,1,351,13,0.0004706317154889183
Mike Remmers,G,1,705,42,0.00046339605260828056
Denzelle Good,T,2,346,25,0.00045946855000604883
Brian Waters,G,1,218,8,0.0004591835870229517
Wade Smith,G,1,607,41,0.0004555921149789446
Ben Ijalana,T,1,537,43,0.0004548993612895809
Lester Cotton,G,1,362,20,0.00045179342064383945
Kendall Lamm,T,3,1213,65,0.00044796104414326606
John Leglue,G,1,259,8,0.00044216677021356374
Cam Jurgens,G,1,383,22,0.0004372490021198204
Andrew Donnal,T,1,187,9,0.000428708127672462
Chris Hairston,T,2,732,61,0.00042337336400657954
Jon Feliciano,C,1,568,22,0.0004203009486140916
Tyson Clabo,T,1,635,52,0.0004199886505687745
Jason Spriggs,T,2,405,29,0.0004108640674692159
Cyrus Kouandjio,T,1,220,13,0.0004048514875100748
Jeremy Trueblood,T,1,436,33,0.0004003648458665607
Chuma Edoga,T,3,674,53,0.0003972020254017196
Luke Joeckel,G,2,611,35,0.0003942830134976417
Senio Kelemete,G,5,1824,89,0.00039110059207153315
Josh LeRibeus,C,1,435,20,0.0003891391658517452
Ryan Jensen,G,2,484,28,0.0003817425859352928
Graham Barton,C,2,1352,59,0.00037617563917078544
Ben Cleveland,G,1,235,8,0.00037336822920760397
B.J. Finney,G,1,183,5,0.0003709663117500973
Anthony Steen,C,1,266,7,0.0003707058205835579
Donovan Jackson,G,1,468,26,0.0003704636260082945
Todd Herremans,G,2,995,70,0.00036942617627341547
Scott Quessenberry,C,2,1029,47,0.00036872138952519587
Jackson Carman,G,1,277,13,0.0003602515514684498
Le'Raven Clark,T,1,235,14,0.00035947817280341203
Jon Halapio,G,1,247,10,0.0003535284025593028
Joe Reitz,T,2,907,80,0.00035341603618637427
Justin Herron,T,2,428,29,0.00035220327762849787
Guy Whimper,T,1,164,8,0.00034253899305495747
Josh Jones,G,1,497,29,0.00034110605020923026
Jake Fisher,T,1,223,16,0.00034018566666016025
Jermaine Eluemunor,G,1,178,5,0.0003392488582626069
Drew Nowak,C,1,261,10,0.0003371125349151919
Alex Palczewski,G,1,405,21,0.0003360743821063476
Matt Peart,T,1,272,15,0.0003352934584409456
Jordan Morgan,G,1,424,24,0.0003340096262646485
Evan Boehm,G,2,805,49,0.00033346244011867444
Alaric Jackson,G,1,272,14,0.00033308517871026924
Daniel Brunskill,C,2,1041,42,0.00033221675364749465
Nate Chandler,T,1,442,30,0.00032708866397989993
Aaron Stinnie,G,1,442,29,0.00032659652083084554
Cody Wallace,C,2,859,46,0.000325549431157952
Evan Boehm,C,1,233,5,0.00032465165342841415
Tony Bergstrom,C,1,174,4,0.0003234359563195138
Jason Fox,T,1,562,48,0.0003231840169713431
Will Clapp,C,2,716,32,0.00032058022872681255
Will Svitek,T,1,158,8,0.00032005325658292076
Tyler Steen,G,1,589,36,0.00031900737455001113
Liam Eichenberg,C,1,479,20,0.00031865666130518293
Tom Compton,G,3,987,65,0.0003172806223461746
Trey Pipkins III,T,5,2220,146,0.000316645309238937
O'Cyrus Torrence,G,3,1917,109,0.000315303187311318
J.C. Hassenauer,C,2,384,11,0.0003142285636606981
Jeff Linkenbach,T,1,235,16,0.0003125087165509404
Roderick Johnson,T,2,393,27,0.00031076676210051065
Tre Jackson,G,1,394,24,0.00031021417708884154
James Brewer,G,1,259,16,0.0003064967969191888
Jon Halapio,C,1,661,27,0.00029996901247232843
Joshua Ezeudu,T,1,181,12,0.0002947885725652396
B.J. Finney,C,1,174,3,0.0002943901181402253
Elgton Jenkins,C,1,310,10,0.0002941712580645034
